date	tx_id	ETH	ETH, total	ETH quote	ETH $	ETH $ total	BNB	BNB, total	BNB quote	BNB $	BNB $ total	UNDEAD	UNDEAD, total	UNDEAD quote	UNDEAD $	UNDEAD $ total
2025-06-20	https://etherscan.io/tx/0xc51ea053908d627ee7f6d8c99ab6f4467ec68e9cae6fbdaae08d92fc26fa8e17	0.0037	0.18861	$2,495.99	$9.24	$507.59	0	0	$666.26	$0.00	$4.20	0	0	$0.002626	$0.00	$35.02
2025-06-20	https://etherscan.io/tx/0x49b1557f9b74f5af20028894658d8a957bd5f806e4c4692cc1ddd31e16f85c1b	0.0037	0.18491	$2,495.99	$9.24	$498.35	0	0	$666.26	$0.00	$4.20	0	0	$0.002626	$0.00	$35.02
2025-06-20	https://etherscan.io/tx/0x8b05b0496d5a4141d36f209af8c2f9da510c074eef8a818914f8afe7cf46e3a5	0.0060	0.18121	$2,495.99	$14.98	$489.12	0	0	$666.26	$0.00	$4.20	0	0	$0.002626	$0.00	$35.02
2025-06-20	https://etherscan.io/tx/0xc65e314d2301fb0f008dfa1c6893ca92b3dcc3f46110a4f0ef5c9e8503e1c005	0.0060	0.17521	$2,495.99	$14.98	$474.14	0	0	$666.26	$0.00	$4.20	0	0	$0.002626	$0.00	$35.02
2025-06-18	https://etherscan.io/tx/0xe0c83242b388fe8082df0845cd50bfd4be039dfdbf5cb8e938691b6dee22a623	0.0244	0.16921	$2,518.42	$61.45	$459.17	0	0	$666.26	$0.00	$4.20	0	0	$0.002626	$0.00	$35.02
2025-06-18	https://etherscan.io/tx/0x981d05e69355e1b0f13831a4e8b9810187402ed7ceecbd11e26efff85acb6ca3	0.0244	0.14481	$2,518.42	$61.45	$397.72	0	0	$666.26	$0.00	$4.20	0	0	$0.002626	$0.00	$35.02
2025-06-16	https://etherscan.io/tx/0xae2893f379ce1e521ff6eda79f61a32bf6e88f7c568b5ffda690e8bb48ba85e2	0.0149	0.12041	$2,641.05	$39.46	$336.27	0	0	$666.26	$0.00	$4.20	0	0	$0.002626	$0.00	$35.02
2025-06-16	https://etherscan.io/tx/0x981d05e69355e1b0f13831a4e8b9810187402ed7ceecbd11e26efff85acb6ca3	0.0000	0.10547	$2,641.05	$0.00	$296.81	0	0	$666.26	$0.00	$4.20	13334	13334	$0.002626	$35.02	$35.02
2025-06-13	https://etherscan.io/tx/0x9da6dc063d61f1779e91a52652a8cb4c527555e03b0fdd2ce943ce832b929804	0.0134	0.10547	$2,557.13	$34.27	$296.81	0	0	$666.26	$0.00	$4.20	0	0	$0.002626	$0.00	$0.00
2025-06-13	https://etherscan.io/tx/0xd500b6f01555e5b0b0656b060f6917ebbe44ea46ae27de9cef1f318dc477b2fa	0.0134	0.09207	$2,557.13	$34.27	$262.54	0	0	$666.26	$0.00	$4.20	0	0	$0.002626	$0.00	$0.00
2025-06-10	https://etherscan.io/tx/0x68e53e11bf933006d117e3e8e1f1096619c28190404fed4df312466a777a5009	0.0118	0.07867	$2,765.02	$32.49	$228.28	0	0	$666.26	$0.00	$4.20	0	0	$0.002626	$0.00	$0.00
2025-06-10	https://etherscan.io/tx/0x9af387377db60f6026d2efeb72e37be8e48479362e8037eb24b9658df690b5ec	0.0118	0.06692	$2,765.02	$32.49	$195.79	0	0	$666.26	$0.00	$4.20	0	0	$0.002626	$0.00	$0.00
2025-06-09	https://etherscan.io/tx/0x33ef9cf0d68625a5f75f7dd05df1462db5786a765f8ec06e077262ea74f18de4	0.0069	0.05517	$2,540.51	$17.53	$163.30	0	0	$655.98	$0.00	$4.20	0	0	$0.002626	$0.00	$0.00
2025-06-09	https://etherscan.io/tx/0x1a05dfd14d6c478cdfe8ca1cda6a75c90d32c6e2d69125a0f0f8ae8f8bba8f8f	0.0069	0.04827	$2,540.51	$17.53	$145.77	0	0	$655.98	$0.00	$4.20	0	0	$0.002626	$0.00	$0.00
2024-12-03	https://bscscan.com/tx/0x52326890b73cb81c678967e0ba2d4cf31e7c4392545f5f4299dd1f4f9d4c535b	0.0000	0.04137	$3,598.15	$0.00	$128.24	0.0065	0.0065	$646.58	$4.20	$4.20	0	0	$0.002626	$0.00	$0.00
2024-11-17	https://etherscan.io/tx/0x78f6f8a81d940975208ed039af63448b9abb107a9c4ef341268b2953a5dd4d27	0.0014	0.04137	$3,119.19	$4.37	$128.24	0	0	$0.00	$0.00	$0.00	0	0	$0.002626	$0.00	$0.00
2024-11-16	https://etherscan.io/tx/0xdf463fd890e6ede62f46b4aabf05f1681e4e82c7a1d71fcbec2d7d4df77d690a	0.0137	0.03997	$3,148.38	$43.10	$123.87	0	0	$0.00	$0.00	$0.00	0	0	$0.002626	$0.00	$0.00
2024-11-15	https://etherscan.io/tx/0x61dfe881fbd55093bd7e7418109456e26bdc7dae1f9177525d9b0aa9d8378d73	0.0224	0.02628	$3,101.96	$69.45	$80.77	0	0	$0.00	$0.00	$0.00	0	0	$0.002626	$0.00	$0.00
2024-11-08	https://etherscan.io/tx/0x1f2c758d4f4d26753400e23a82ad793df1677aa34ba3ddc188ba216e3a73d920	0.0039	0.00389	$2,907.70	$11.32	$11.32	0	0	$0.00	$0.00	$0.00	0	0	$0.002626	$0.00	$0.00
